Employee_ID,Anomaly_Score,Status
201,0.019980818977687095,Normal
202,0.06018727246947594,Normal
203,0.07035657716396719,Normal
204,0.10091441411327573,Normal
205,0.035877127805696116,Normal
206,0.015456098691676454,Normal
207,0.15525546476637012,Anomaly
208,0.04551494450307489,Normal
209,0.03969600231288536,Normal
210,0.019021248147321486,Normal
211,0.08060417046750827,Normal
212,0.03639736109532548,Normal
213,0.04012813662374214,Normal
214,0.001758545165948491,Normal
215,0.1731860876047539,Anomaly
216,0.005719157097436681,Normal
217,0.014670731743565693,Normal
218,0.03338392452981471,Normal
219,0.16408147508633686,Anomaly
220,0.1389082271707337,Anomaly
221,0.030932506206460996,Normal
222,0.04722956513193214,Normal
223,0.10293255271565313,Normal
224,0.10845548044576978,Normal
225,0.09735788379898964,Normal
226,0.25266194933962527,Anomaly
227,0.024084560629193306,Normal
228,0.47534436679240893,Anomaly
229,0.03460411012396497,Normal
230,0.003799166475174475,Normal
231,0.020627082927754583,Normal
232,0.08266125630018303,Normal
233,0.10904836606270682,Anomaly
234,0.03410650089737988,Normal
235,0.06756622241720224,Normal
236,0.023491958425718218,Normal
237,0.1731860876047539,Anomaly
238,0.06018727246947594,Normal
239,0.058579776419944746,Normal
240,0.10209062551041992,Normal
241,0.001758545165948491,Normal
242,0.026883580975730712,Normal
243,0.04012813662374214,Normal
244,0.014815482147454935,Normal
245,0.16903618416483224,Anomaly
246,0.03942059664703141,Normal
247,0.03338392452981471,Normal
248,0.03488236300031496,Normal
249,0.014049651352050253,Normal
250,0.48884860192016355,Anomaly
